top_category	rel_path	file_name	stem	data_block	chemical_name_common	chemical_name_mineral	chemical_name_systematic	chemical_formula_sum	search_key
.	amorphPeak.cif	amorphPeak.cif	amorphPeak	amorphPeak	amorphPeak			?	amorphpeak | amorphpeak | amorphpeak | ? | . | amorphpeak.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-alpha.cif	Al2O3-alpha.cif	Al2O3-alpha	alphaAl2O3	alphaAl2O3			Al2 O3	al2o3-alpha | alphaal2o3 | alphaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-alpha.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-beta-Na.cif	Al2O3-beta-Na.cif	Al2O3-beta-Na	Sodium11aluminiumoxide	Sodium11aluminiumoxide			Al11 Na O17	al2o3-beta-na | sodium11aluminiumoxide | sodium11aluminiumoxide | al11 na o17 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-beta-na.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-delta-m.cif	Al2O3-delta-m.cif	Al2O3-delta-m	deltaAl2O3m	deltaAl2O3m			Al2 O3	al2o3-delta-m | deltaal2o3m | deltaal2o3m | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-delta-m.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-delta-o.cif	Al2O3-delta-o.cif	Al2O3-delta-o	deltaAl2O3o	deltaAl2O3o			Al2 O3	al2o3-delta-o | deltaal2o3o | deltaal2o3o | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-delta-o.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-gamma.cif	Al2O3-gamma.cif	Al2O3-gamma	gammaAl2O3	gammaAl2O3			Al2 O3	al2o3-gamma | gammaal2o3 | gammaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-gamma.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-gamma-prime.cif	Al2O3-gamma-prime.cif	Al2O3-gamma-prime	gammapAl2O3	gammapAl2O3			Al2 O3	al2o3-gamma-prime | gammapal2o3 | gammapal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-gamma-prime.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-kappa.cif	Al2O3-kappa.cif	Al2O3-kappa	kappaAl2O3	kappaAl2O3			Al2 O3	al2o3-kappa | kappaal2o3 | kappaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-kappa.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-Mg-beta-Na.cif	Al2O3-Mg-beta-Na.cif	Al2O3-Mg-beta-Na	MagnesiumAluminumOxideSodiumOxide	MagnesiumAluminumOxideSodiumOxide			( Al10.35 Mg0.65 O16 ) ( Na1.678 O )	al2o3-mg-beta-na | magnesiumaluminumoxidesodiumoxide | magnesiumaluminumoxidesodiumoxide | ( al10.35 mg0.65 o16 ) ( na1.678 o ) | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-mg-beta-na.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-Mg-beta-Na-2.cif	Al2O3-Mg-beta-Na-2.cif	Al2O3-Mg-beta-Na-2	SodiumMagnesiumAluminumOxide	SodiumMagnesiumAluminumOxide			Na1.67 Mg0.67 Al10.33 O17	al2o3-mg-beta-na-2 | sodiummagnesiumaluminumoxide | sodiummagnesiumaluminumoxide | na1.67 mg0.67 al10.33 o17 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-mg-beta-na-2.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-theta.cif	Al2O3-theta.cif	Al2O3-theta	thetaAl2O3	thetaAl2O3			Al2 O3	al2o3-theta | thetaal2o3 | thetaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-theta.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2Y4O9.cif	Al2Y4O9.cif	Al2Y4O9	Al2Y4O9	Al2Y4O9			Y4 Al2 O9	al2y4o9 | al2y4o9 | al2y4o9 | y4 al2 o9 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2y4o9.cif
