phase,two_theta_deg,rel_intensity,hkl,source
Austenite_fcc,43.50,100,111,user_or_database
Austenite_fcc,50.70,45,200,user_or_database
Austenite_fcc,74.60,25,220,user_or_database
Ferrite_bcc,44.70,100,110,user_or_database
Ferrite_bcc,65.00,20,200,user_or_database
Magnetite_Fe3O4,30.10,30,220,user_or_database
Magnetite_Fe3O4,35.50,100,311,user_or_database
Magnetite_Fe3O4,43.10,20,400,user_or_database
Magnetite_Fe3O4,57.00,25,511,user_or_database
Magnetite_Fe3O4,62.60,40,440,user_or_database
Cr2O3,24.50,40,012,user_or_database
Cr2O3,33.60,100,104,user_or_database
Cr2O3,36.20,70,110,user_or_database
Cr2O3,54.90,45,116,user_or_database
TiO2_Rutile,27.40,100,110,user_or_database
TiO2_Rutile,36.10,50,101,user_or_database
TiO2_Anatase,25.30,100,101,user_or_database
TiO2_Anatase,37.80,20,004,user_or_database
TiN,36.70,70,111,user_or_database
TiN,42.60,100,200,user_or_database
