canonical_phase,alias
Magnetite,magnetite
Magnetite,Fe3O4
Hematite,hematite
Hematite,alpha-Fe2O3
Hematite,Fe2O3
Wustite,wustite
Wustite,FeO
Fe-Cr spinel,Fe-Cr spinel
Fe-Cr spinel,(Fe,Cr)3O4
Fe-Cr spinel,FeCr2O4
Fe-Cr spinel,chromite-like spinel
Chromia,chromia
Chromia,Cr2O3
Alumina,alumina
Alumina,alpha-Al2O3
Alumina,Al2O3
Silica,silica
Silica,quartz
Silica,SiO2
Lead oxide,lead oxide
Lead oxide,PbO
Bismuth oxide,bismuth oxide
Bismuth oxide,Bi2O3
Nickel oxide,nickel oxide
Nickel oxide,NiO
Ferrite / alpha-Fe,ferrite
Ferrite / alpha-Fe,alpha-Fe
Ferrite / alpha-Fe,bcc Fe-Cr
Spinel Mn-Cr oxide,Mn-Cr spinel
Spinel Mn-Cr oxide,MnCr2O4
Spinel Mn-Cr oxide,(Mn,Cr,Fe)3O4
